File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,IntensityRater,DBB Size
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Ele.cs,13,13,9,28,0,0,16,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Ele.cs,14,14,9,10,0,0,16,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Ele.cs,15,15,13,23,0,0,16,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Ele.cs,16,16,9,10,0,0,16,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,37,37,9,10,0,0,14,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,38,38,13,58,0,0,14,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,39,39,13,25,0,0,14,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,40,40,9,10,0,0,14,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,48,48,9,10,0,0,16,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,49,49,13,32,0,0,16,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,50,50,17,37,0,0,5,1
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,52,52,13,35,0,0,16,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,53,53,13,29,0,0,16,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,54,54,9,10,0,0,16,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,27,27,9,87,0.5063291,0.4850712,39,1
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,225,225,9,10,0,0,5,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,227,227,13,38,0,0,5,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,228,228,13,67,0,0,5,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,229,229,9,10,0,0,5,4
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,216,216,9,10,0,0,12,6
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,218,218,13,46,0,0,12,6
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,219,219,13,34,0,0,12,6
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,220,220,13,29,0,0,12,6
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,221,221,13,25,0,0,12,6
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,222,222,9,10,0,0,12,6
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,116,116,9,10,0,0,7,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,119,119,13,35,0,0,7,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,120,120,18,23,0,0,7,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,120,120,25,34,0,0,7,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,124,124,9,10,0,0,7,5
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,173,173,9,10,0,0,4,3
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,179,179,13,37,0,0,4,3
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,193,193,9,10,0,0,4,3
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,61,61,9,10,0.5263158,0.2041241,6,2
D:\Documents and Settings\de059613\My Documents\Visual Studio 2010\Projects\New Folder\schedule\schedule\Program.cs,65,65,13,32,0.5263158,0.2041241,6,2
